frozen_c2 9
   ('R12', '1', '+3V3', 51.5, 84.35, 0.82, False)
   ('R12', '2', 'Net-(D1-A)', 51.5, 83.38, 0.82, False)
   ('R11', '1', '/IO_Banks/U1', 51.29, 109.46, 1.0, False)
   ('U14', '4', '/IO_Banks/IO_Buffer_B/VFB', 128.62, 100.73, 0.8, False)
   ('U14', '5', 'Net-(U14-OUT)', 128.62, 98.83, 0.8, False)
   ('D12', '1', 'Net-(D12-K)', 63.64, 118.5, 0.78, False)
   ('D12', '2', 'GND', 62.24, 118.5, 0.78, False)
   ('C89', '1', '/~{MR}', 69.23, 118.7, 1.0, False)
   ('C89', '2', 'GND', 68.27, 118.7, 1.0, False)
C2_rg1_g 9
   ('R12', '1', '+3V3', 51.5, 84.35, 0.82, False)
   ('R12', '2', 'Net-(D1-A)', 51.5, 83.38, 0.82, False)
   ('R11', '1', '/IO_Banks/U1', 51.29, 109.46, 1.0, False)
   ('U14', '4', '/IO_Banks/IO_Buffer_B/VFB', 128.62, 100.73, 0.8, False)
   ('U14', '5', 'Net-(U14-OUT)', 128.62, 98.83, 0.8, False)
   ('D12', '1', 'Net-(D12-K)', 63.64, 118.5, 0.78, False)
   ('D12', '2', 'GND', 62.24, 118.5, 0.78, False)
   ('C89', '1', '/~{MR}', 69.23, 118.7, 1.0, False)
   ('C89', '2', 'GND', 68.27, 118.7, 1.0, False)
